drug_name,smiles,inchikey,status,resolved_name
(+)-BICUCULLINE,CN1CCC2=CC3=C(C=C2C1C4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3,IYGYMKDQCDOMRE-ZWKOTPCHSA-N,OK,(+)-BICUCULLINE
(+)-BLEBBISTATIN,CC1=CC2=C(C=C1)N=C3C(C2=O)(CCN3C4=CC=CC=C4)O,LZAXPYOBKSJSEX-SFHVURJKSA-N,OK,(+)-BLEBBISTATIN
(+)-PD 128907 HYDROCHLORIDE,CCCN1CCOC2C1COC3=C2C=C(C=C3)O.Cl,DCFXOTRONMKUJB-QMDUSEKHSA-N,OK,(+)-PD 128907 HYDROCHLORIDE
(+)-USNIC ACID,CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)O,WEYVVCKOOFYHRW-SFHVURJKSA-N,OK,(+)-USNIC ACID
(-)-BLEBBISTATIN,CC1=CC2=C(C=C1)N=C3C(C2=O)(CCN3C4=CC=CC=C4)O,LZAXPYOBKSJSEX-GOSISDBHSA-N,OK,(-)-BLEBBISTATIN
(-)-CHLORPHENIRAMINE,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,SOYKEARSMXGVTM-OAHLLOKOSA-N,OK,(-)-CHLORPHENIRAMINE
(-)-EPIGALLOCATECHIN GALLATE,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-WIYYLYMNSA-N,OK,(-)-EPIGALLOCATECHIN GALLATE
(-)-ETHYL APOVINCAMINATE,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(=C2)C(=O)OCC,DDNCQMVWWZOMLN-RBBKRZOGSA-N,OK,(-)-ETHYL APOVINCAMINATE
(-)-HUPERZINE A,CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3,ZRJBHWIHUMBLCN-YQEJDHNASA-N,OK,(-)-HUPERZINE A
(-)-MK 801 MALEATE,CC12C3=CC=CC=C3CC(N1)C4=CC=CC=C24.C(=CC(=O)O)C(=O)O,QLTXKCWMEZIHBJ-FWHYOZOBSA-N,OK,(-)-MK 801 MALEATE
(-)-RAPAMYCIN,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,QFJCIRLUMZQUOT-HPLJOQBZSA-N,OK,(-)-RAPAMYCIN
(-)-THREO-MEFLOQUINE,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,XEEQGYMUWCZPDN-IUODEOHRSA-N,OK,(-)-THREO-MEFLOQUINE
"(2S)-N-[(2S,3R)-4-[(3S,4AS,8AR)-3-[(TERT-BUTYLAMINO)-OXOMETHYL]-3,4,4A,5,6,7,8,8A-OCTAHYDRO-1H-ISOQUINOLIN-2-YL]-3-HYDROXY-1-PHENYLBUTAN-2-YL]-2-[[OXO(2-QUINOLINYL)METHYL]AMINO]BUTANEDIAMIDE",CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,QWAXKHKRTORLEM-AZFKVOMOSA-N,OK,"(2S)-N-[(2S,3R)-4-[(3S,4AS,8AR)-3-[(TERT-BUTYLAMINO)-OXOMETHYL]-3,4,4A,5,6,7,8,8A-OCTAHYDRO-1H-ISOQUINOLIN-2-YL]-3-HYDROXY-1-PHENYLBUTAN-2-YL]-2-[[OXO(2-QUINOLINYL)METHYL]AMINO]BUTANEDIAMIDE"
"(3S,4R)-TOFACITINIB",CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N,UJLAWZDWDVHWOW-DGCLKSJQSA-N,OK,"(3S,4R)-TOFACITINIB"
"(4R,4AS,7AR)-3-(CYCLOPROPYLMETHYL)-4A,9-DIHYDROXY-2,4,5,6,7A,13-HEXAHYDRO-1H-4,12-METHANOBENZOFURO[3,2-E]ISOQUINOLINE-7-ONE",C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O,DQCKKXVULJGBQN-PODIIYFMSA-N,OK,"(4R,4AS,7AR)-3-(CYCLOPROPYLMETHYL)-4A,9-DIHYDROXY-2,4,5,6,7A,13-HEXAHYDRO-1H-4,12-METHANOBENZOFURO[3,2-E]ISOQUINOLINE-7-ONE"
(E/Z)-FERULIC ACID,COC1=C(C=CC(=C1)C=CC(=O)O)O,KSEBMYQBYZTDHS-UHFFFAOYSA-N,OK,(E/Z)-FERULIC ACID
(PHENYLINDOLYL)MALEIMIDE DERIV. 79,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CC(=CC(=C4)Cl)Cl,UVTLOYATPTULIH-UHFFFAOYSA-N,OK,(PHENYLINDOLYL)MALEIMIDE DERIV. 79
(R)-(-)-ROLIPRAM,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,HJORMJIFDVBMOB-LBPRGKRZSA-N,OK,(R)-(-)-ROLIPRAM
(R)-BICALUTAMIDE,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,LKJPYSCBVHEWIU-KRWDZBQOSA-N,OK,(R)-BICALUTAMIDE
(R)-ETODOLAC,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,NNYBQONXHNTVIJ-QGZVFWFLSA-N,OK,(R)-ETODOLAC
(S)-(+)-ROLIPRAM,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,HJORMJIFDVBMOB-GFCCVEGCSA-N,OK,(S)-(+)-ROLIPRAM
".BETA.,.BETA.-CAROTENE",CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,OENHQHLEOONYIE-JLTXGRSLSA-N,OK,".BETA.,.BETA.-CAROTENE"
"001, RAD",CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC,HKVAMNSJSFKALM-GKUWKFKPSA-N,OK,Everolimus
"1,25-DIHYDROXY VITAMIN D3",CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,GMRQFYUYWCNGIN-NKMMMXOESA-N,OK,"1,25-DIHYDROXY VITAMIN D3"
1-(1-NAPHTHYLMETHYL)PIPERAZINE,C1CN(CCN1)CC2=CC=CC3=CC=CC=C32,HGYDREHWXXUUIS-UHFFFAOYSA-N,OK,1-(1-NAPHTHYLMETHYL)PIPERAZINE
