cell_line,drug_name,total_drugs_for_cell_line,possible_combinations
EW-8,GANETESPIB,23,253
EW-8,10356-76-0,23,253
EW-8,ROMIDEPSIN,23,253
EW-8,OLAPARIB,23,253
EW-8,VINCRISTINE,23,253
EW-8,FLUDARABINE,23,253
EW-8,MK-1775,23,253
EW-8,5-AZACYTIDINE,23,253
EW-8,200484-11-3,23,253
EW-8,THAPSIGARGIN,23,253
EW-8,CRENOLANIB,23,253
EW-8,KX2-391,23,253
EW-8,NIRAPARIB,23,253
EW-8,DOXORUBICIN HYDROCHLORIDE,23,253
EW-8,CARFILZOMIB,23,253
EW-8,ISPINESIB,23,253
EW-8,GENIPOSIDE,23,253
EW-8,AT7519,23,253
EW-8,1201902-80-8,23,253
EW-8,955-24-8,23,253
EW-8,MOCETINOSTAT,23,253
EW-8,MK-5108,23,253
EW-8,BARDOXOLONE METHYL,23,253
TC-32,ENTINOSTAT,51,1275
TC-32,DORSOMORPHIN,51,1275
TC-32,FLAVOPIRIDOL HYDROCHLORIDE,51,1275
TC-32,CHLOROQUINE,51,1275
TC-32,PALBOCICLIB,51,1275
TC-32,200484-11-3,51,1275
TC-32,SEPANTRONIUM,51,1275
TC-32,CHLOROXINE,51,1275
TC-32,FOSTAMATINIB,51,1275
TC-32,DASATINIB,51,1275
TC-32,TRAMETINIB,51,1275
TC-32,CARFILZOMIB,51,1275
TC-32,SNS-032,51,1275
TC-32,MEBENDAZOLE,51,1275
TC-32,RAF265,51,1275
TC-32,391210-10-9,51,1275
TC-32,(-)-ETHYL APOVINCAMINATE,51,1275
TC-32,BUPARLISIB,51,1275
TC-32,NAVITOCLAX,51,1275
TC-32,PAEONOL,51,1275
TC-32,219773-55-4,51,1275
TC-32,PROCHLORPERAZINE,51,1275
TC-32,PROSCILLARIDIN,51,1275
TC-32,MEFLOQUINE,51,1275
TC-32,GSK-J4,51,1275
TC-32,VINPOCETINE,51,1275
TC-32,CICLOPIROX OLAMINE,51,1275
TC-32,CPG-52364,51,1275
TC-32,BARDOXOLONE METHYL,51,1275
TC-32,IMD-0354,51,1275
TC-32,DAPORINAD,51,1275
TC-32,FINGOLIMOD,51,1275
TC-32,CUDC-101,51,1275
TC-32,ALISERTIB,51,1275
TC-32,PRAZOSIN,51,1275
TC-32,BETA-NARCOTINE,51,1275
TC-32,BMS-754807,51,1275
TC-32,1268524-70-4,51,1275
TC-32,NICLOSAMIDE,51,1275
TC-32,ISODONOL,51,1275
TC-32,PANOBINOSTAT,51,1275
TC-32,117048-62-1,51,1275
TC-32,THAPSIGARGIN,51,1275
TC-32,TOCRIS-1479,51,1275
TC-32,CYTISINE,51,1275
TC-32,BIIB021,51,1275
TC-32,34031-32-8,51,1275
TC-32,915019-65-7,51,1275
TC-32,LUMINESPIB,51,1275
TC-32,GEFITINIB,51,1275
TC-32,TAMOXIFEN,51,1275
TC-71,GANETESPIB,23,253
TC-71,10356-76-0,23,253
TC-71,ROMIDEPSIN,23,253
TC-71,OLAPARIB,23,253
TC-71,VINCRISTINE,23,253
TC-71,FLUDARABINE,23,253
TC-71,MK-1775,23,253
TC-71,5-AZACYTIDINE,23,253
TC-71,200484-11-3,23,253
TC-71,THAPSIGARGIN,23,253
TC-71,CRENOLANIB,23,253
TC-71,KX2-391,23,253
TC-71,NIRAPARIB,23,253
TC-71,DOXORUBICIN HYDROCHLORIDE,23,253
TC-71,CARFILZOMIB,23,253
TC-71,ISPINESIB,23,253
TC-71,GENIPOSIDE,23,253
TC-71,AT7519,23,253
TC-71,1201902-80-8,23,253
TC-71,955-24-8,23,253
TC-71,MOCETINOSTAT,23,253
TC-71,MK-5108,23,253
TC-71,BARDOXOLONE METHYL,23,253
SU-DIPG-XIII,COBIMETINIB (R-ENANTIOMER),20,190
SU-DIPG-XIII,BGT-226 FREE BASE,20,190
SU-DIPG-XIII,OMIPALISIB,20,190
SU-DIPG-XIII,FLOXURIDINE,20,190
SU-DIPG-XIII,BUPARLISIB,20,190
SU-DIPG-XIII,1224844-38-5,20,190
SU-DIPG-XIII,MK-2206,20,190
SU-DIPG-XIII,200484-11-3,20,190
SU-DIPG-XIII,SCH772984,20,190
SU-DIPG-XIII,IPATASERTIB,20,190
SU-DIPG-XIII,PONATINIB,20,190
SU-DIPG-XIII,TRAMETINIB,20,190
SU-DIPG-XIII,CERITINIB,20,190
SU-DIPG-XIII,BMS-754807,20,190
SU-DIPG-XIII,915019-65-7,20,190
SU-DIPG-XIII,937174-76-0,20,190
SU-DIPG-XIII,BELINOSTAT(RANDOM CONFIGURATION),20,190
SU-DIPG-XIII,1268524-70-4,20,190
SU-DIPG-XIII,"3-(2,6-DICHLORO-3,5-DIMETHOXY-PHENYL)-1-[6-[4-(4-ETHYLPIPERAZIN-1-YL)ANILINO]PYRIMIDIN-4-YL]-1-METHYL-UREA",20,190
SU-DIPG-XIII,TRICIRIBINE,20,190
JHH-136,PODOPHYLLOTOXIN,25,300
JHH-136,957054-30-7,25,300
JHH-136,OBATOCLAX,25,300
JHH-136,TOPOTECAN,25,300
JHH-136,TRAMETINIB,25,300
JHH-136,IXAZOMIB,25,300
JHH-136,CARFILZOMIB,25,300
JHH-136,OSI-027,25,300
JHH-136,MEBENDAZOLE,25,300
JHH-136,SR-3306,25,300
JHH-136,ARTENIMOL,25,300
JHH-136,NAVITOCLAX,25,300
JHH-136,FENRETINIDE,25,300
JHH-136,117048-62-1,25,300
JHH-136,219773-55-4,25,300
JHH-136,OMIPALISIB,25,300
JHH-136,ROTENONE,25,300
JHH-136,EKB-568,25,300
JHH-136,BIIB021,25,300
JHH-136,CLADRIBINE,25,300
JHH-136,TAK-733,25,300
JHH-136,315183-21-2,25,300
JHH-136,FLAVOPIRIDOL,25,300
JHH-136,BARDOXOLONE METHYL,25,300
JHH-136,315703-52-7,25,300
JHH-520,NAVITOCLAX,14,91
JHH-520,957054-30-7,14,91
JHH-520,OMIPALISIB,14,91
JHH-520,OBATOCLAX,14,91
JHH-520,EKB-568,14,91
JHH-520,TRAMETINIB,14,91
JHH-520,BIIB021,14,91
JHH-520,CARFILZOMIB,14,91
JHH-520,CLADRIBINE,14,91
JHH-520,OSI-027,14,91
JHH-520,MEBENDAZOLE,14,91
JHH-520,315183-21-2,14,91
JHH-520,SR-3306,14,91
JHH-520,BARDOXOLONE METHYL,14,91
KMSIIFGF,OLAPARIB,22,231
KMSIIFGF,AZD1208,22,231
KMSIIFGF,NAVITOCLAX,22,231
KMSIIFGF,5-AZACYTIDINE,22,231
KMSIIFGF,CHLOROQUINE,22,231
KMSIIFGF,AZD4320,22,231
KMSIIFGF,AZ20,22,231
KMSIIFGF,AZD5582,22,231
KMSIIFGF,AZD2014,22,231
KMSIIFGF,946128-88-7,22,231
KMSIIFGF,AZD5363,22,231
KMSIIFGF,"001, RAD",22,231
KMSIIFGF,ONALESPIB,22,231
KMSIIFGF,AZD7762,22,231
KMSIIFGF,CARFILZOMIB,22,231
KMSIIFGF,VORINOSTAT,22,231
KMSIIFGF,RAF265,22,231
KMSIIFGF,BAY 65-1942,22,231
KMSIIFGF,CEDIRANIB,22,231
KMSIIFGF,AZD1480,22,231
KMSIIFGF,AZD4547,22,231
KMSIIFGF,SAPITINIB,22,231
KMSIIHIGH4547,OLAPARIB,22,231
KMSIIHIGH4547,AZD1208,22,231
KMSIIHIGH4547,NAVITOCLAX,22,231
KMSIIHIGH4547,5-AZACYTIDINE,22,231
KMSIIHIGH4547,CHLOROQUINE,22,231
KMSIIHIGH4547,AZD4320,22,231
KMSIIHIGH4547,AZ20,22,231
KMSIIHIGH4547,AZD5582,22,231
KMSIIHIGH4547,AZD2014,22,231
KMSIIHIGH4547,946128-88-7,22,231
KMSIIHIGH4547,AZD5363,22,231
KMSIIHIGH4547,"001, RAD",22,231
